Date,Time,Card Nr.,Vehicle Nr.,Product,Amount,Total sum,Currency,Country,Country ISO,Fuel station
27.12.2021,06:19:47,4556942864486967,UTM-020,E95,"6,81","12,6",EUR,Slovenia,SI,"West Evamouth, Timmy Terrace 4406"
14.06.2022,04:14:17,5394032774452136,KE-830,E95,"44,36","36319,02",HUF,Hungary,HU,"Bergnaumshire, Simone Forest 553"
01.05.2022,03:25:25,4916306836418778,EV-3964,Electricity,6,"2,22",EUR,Spain,ES,"Dinoshire, Anne Lakes 9361"
11.04.2022,13:01:31,5410117612464722,EX-2896,Charging,21,"56,24",DKK,Denmark,DK,"Beahanstad, Craig Coves 970"
08.03.2022,00:48:13,4916306836418778,JR-2222,CNG,"52,14","51,62",EUR,Ireland,IE,"Port Davion, Baumbach Stravenue 91425"
09.10.2021,16:32:55,2391959113930515,EV-3964,Extra premium CNG,"55,62","57,29",EUR,Ireland,IE,"New Mathias, Daphney Neck 28199"
05.03.2022,13:15:22,4539331124251167,KF-8571,Premium Diesel,"56,66","117,85",EUR,Germany,DE,"Herminiochester, Corine Landing 9037"
11.01.2022,07:42:00,4916306836418778,JR-2222,BIOCNG,"102,97","759,81",HRK,Croatia,HR,"West Citlallifort, Kiehn Forks 909"
24.04.2022,18:50:39,4716537084153764,OXZ-034,Extra premium CNG,"1,34","1,41",EUR,Luxembourg,LU,"New Gerda, Fredy Trail 59996"
05.06.2022,09:49:18,4716589087524,EX-2896,Electricity,36,"15,12",EUR,Slovakia,SK,"Gusikowskiton, Aron Spring 75439"
09.08.2021,07:19:51,4556942864486967,EV-3964,Premium Diesel,"20,27","409,69",SEK,Sweden,SE,"Port Coralie, Conroy Valley 78001"
04.03.2022,15:41:46,5410117612464722,UTM-020,E98,"21,31","45,82",EUR,France,FR,"Gabriellashire, Rebecca Path 9702"
02.05.2022,12:53:54,4716537084153764,XZE-354,Extra premium CNG,"70,35","314,27",PLN,Poland,PL,"Effertzton, Terry Locks 91917"
23.04.2022,14:04:30,4916637234582249,EX-2896,Charging,39,"15,6",EUR,Spain,ES,"East Yoshikochester, Rath Crescent 4227"
17.04.2022,12:50:20,4556942864486967,ML-8196,Diesel,"59,48","108,25",EUR,Italy,IT,"East Eldaton, Brendon Ford 1577"
01.07.2021,02:58:36,4916637234582249,ML-8196,Premium Diesel,"35,55","688,11",SEK,Sweden,SE,"Schmelermouth, Cierra Turnpike 14544"
19.12.2021,06:59:25,4539331124251167,EX-2896,Charging,21,"7,35",EUR,Germany,DE,"New Hollisstad, Pagac Pine 4170"
04.03.2022,14:50:56,4887895152923325,XZE-354,Super Plus 98,"12,19","10665,29",HUF,Hungary,HU,"North Mossiefort, Durgan Fort 9373"
14.07.2021,15:07:26,4716537084153764,OXZ-034,95 Miles,"13,74","27,89",EUR,Slovakia,SK,"South Gunnermouth, Wolf Views 3204"
19.05.2022,18:17:41,5410117612464722,KE-830,E98,"29,32","60,69",EUR,Estonia,EE,"Wardmouth, Bogisich Well 229"
24.12.2021,00:55:46,4556942864486967,XZE-354,Diesel,"14,42","26,82",EUR,Slovenia,SI,"North Stevie, Lou Brook 4592"
02.05.2022,10:15:33,4916637234582249,OXZ-034,Electricity,36,"12,96",EUR,Latvia,LV,"New Ophelia, Gutmann Falls 235"
23.07.2021,02:29:48,4556942864486967,KA-6963,Premium Diesel,"33,48","1589,75",CZK,Czech Republic,CZ,"East Quinn, Grayson Square 10692"
01.09.2021,11:23:25,5410117612464722,XZE-354,Charging,10,"4,3",EUR,Belgium,BE,"Arnulfoview, Renner Terrace 5120"
04.07.2021,16:52:28,4916306836418778,JR-2222,Extra premium CNG,"85,02","84,17",EUR,Finland,FI,"New Harry, Susana Courts 6969"
10.04.2022,05:41:08,4916637234582249,KE-830,98E0 milesPLUS,"22,06","45,22",EUR,Latvia,LV,"Keelingchester, Fisher Ramp 6562"
05.12.2021,12:45:43,4916637234582249,XZE-354,Self-service charge station,28,23,BGN,Bulgaria,BG,"South Claraview, Bauch Prairie 6435"
17.04.2022,12:21:00,4887895152923325,XZE-354,BIOCNG,"15,18","76,59",RON,Romania,RO,"North Logan, Lubowitz Dam 9233"
08.09.2021,01:38:59,4716589087524,OXZ-034,Super Plus 98,"34,49","353,14",RON,Romania,RO,"East Emely, Borer Extension 419"
24.05.2022,08:44:39,5394032774452136,KE-830,98E0 milesPLUS,"1,74","3,55",EUR,Finland,FI,"Guillermoside, Davis Circles 207"
30.04.2022,07:18:33,5410117612464722,EV-3964,Electricity,26,"9,1",EUR,Netherlands,NL,"West Garnettmouth, Hahn Mountains 432"
23.02.2022,10:43:37,4716589087524,XZE-354,E98,"49,21","520,89",RON,Romania,RO,"Port Wyman, Damion Lake 7960"
15.08.2021,20:10:09,4916637234582249,KA-6963,Diesel,"34,58","520,74",HRK,Croatia,HR,"East Angelside, Rosario Crest 104"
27.11.2021,03:52:42,4916637234582249,EX-2896,Coffee,1,"117,58",EUR,Lithuania,LT,"South Norval, Baumbach Field 231"
